index;cluster_index;disease;disease_count;mean_lon;mean_lat
0;0;Zika;42;-81.30328357142857;28.986623809523806
1;2;Zika;32;-94.826501875;32.091483749999995
2;1;Hepatitis;11;-74.86029545454545;40.12089
3;2;Hepatitis;8;-89.697745;39.689865000000005
6;3;Zika;6;-117.43786166666666;33.602448333333335
7;1;Dengue;6;-75.25869999999999;41.917444999999994
9;1;Mumps;5;-74.92907199999999;39.62776
10;2;Rotavirus;5;-90.30719200000001;39.549122
11;1;Measles;4;-73.97438;40.725657500000004
12;1;Zika;4;-74.77447999999998;40.3127425
